标题,链接,日期,正文
山东青岛：2026年春季自主就业退役士兵“荣归”返乡欢迎活动暖心启幕,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260319_534502.html,2026-03-20,"山东青岛：2026年春季自主就业退役士兵“荣归”返乡欢迎活动暖心启幕
近日，2026年春季自主就业退役士兵怀揣军旅荣光陆续返乡，山东省青岛市退役军人事务局组织各区（市）精心开展春季退役士兵“荣归”返乡欢迎活动，在青岛胶东国际机场、青岛火车站、青岛北站、青岛西站等重点交通枢纽和各级退役军人服务中心（站）同步设立返乡接待站，持续擦亮“一朝戎装，一生荣光”城市拥军底色。
在青岛火车站“荣归”返乡接待站，市南区退役军人事务局针对春季自主就业退役士兵的就业创业需求，将返乡迎接与岗位对接进行融合，打破以往“先返乡 后对接”的模式，在接站现场进行简约温馨的欢迎仪式后，主动登记退役军人求职需求及特长，介绍该市就业创业政策，并邀请需聘用退役军人的企业负责人现场开展“一对一”洽谈，将就业创业服务融合进返乡服务。
在青岛北站“荣归”返乡接待站，李沧区退役军人事务局工作人员为刚抵达的退役士兵披上绶带、戴上鲜艳红花，送上精心编制的2026版《荣归返乡攻略》。这份攻略紧扣退役士兵返乡后的实际需求，梳理了报到流程、伤残抚恤关系迁入等事项的办理流程，还详细解读了青岛市最新的荣军举措、创业帮扶等政策内容，成为退役士兵返乡后的“第一本指南”。退役士兵马文鑫现场翻看后表示：“这本攻略把我们返乡后要办的事、能享受到的福利都讲明白了，不用再到处打听，考虑十分周到。”
胶东国际机场迎接现场暖意融融，胶州市退役军人事务局的工作人员与志愿者早早等候在机场出口，手持欢迎标语、手捧鲜花，成为机场大厅里一道温暖的风景线。退役士兵徐瑞谦说：“刚落地就被这份热情包围，不仅有人接、有人帮，工作人员还特别亲切，完全没有陌生感。家乡的这份用心，让我心里暖暖的，也让我对未来扎根青岛发展更有底气了！”
在青岛西站“荣归”返乡接待站，西海岸新区退役军人事务局工作人员在接站口迎接返乡退役军人，并为提前到达的家属提供热水、座椅等服务。退役士兵出站后，工作人员主动上前接过行李，引导至“荣归”接待专区进行信息登记，同时提供政策咨询、引导帮办、交通接驳等便民服务。
下一步，青岛市退役军人事务局将充分发挥“智慧荣军”信息平台的数字化优势，打通政策服务“最后一公里”，持续深化退役军人“一站式”报到服务，扎实做好2026年春季自主就业退役士兵后续服务保障工作，精准对接就业创业需求及技能培训意向，全方位落实各项优待政策，用心用情为退役军人保驾护航，助力广大退役军人扎根家乡、再建新功。"
广东：共植绿色希望 共筑生态未来,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260319_534498.html,2026-03-20,"广东：共植绿色希望 共筑生态未来
春风催新绿，植树正当时。在第48个植树节之际，3月9日，广东省军用供应站党总支联合新港街道穗华社区、退役军人服务站、新港路小学开展“共植绿色希望 共筑生态未来”主题党日活动。省军供站党员干部、社区工作者、学校师生代表及退役军人代表一同参加义务植树活动。
活动现场，大家热情高涨、分工协作，挥锹铲土、扶苗填坑、踩实浇水，一派热火朝天的劳动景象。植树过程中，省军供站党员干部与新港路小学少先队员们亲切互动，普及植树节的由来和生态环保知识，引导孩子们树立爱绿、植绿、护绿意识。
此次活动以实际行动践行绿色发展理念，助力绿美广东建设和乡村振兴战略实施，深化了军地、街社、校地情谊，充分展现了省军供站党员干部担当奉献的良好风貌。大家以党建红引领生态绿，不断提升保障能力，以实干实绩服务部队备战打仗、服务国防和军队建设。
下一步，省军供站党总支部将以此次活动为契机，持续深化党建引领，不断加强与属地街道、社区、学校及退役军人服务站的主题党日、联学共建活动，动员广大市民爱绿植绿护绿兴绿，为建设绿美广东贡献军供力量。"
上海闵行区：开展第二期政策法规月月学培训,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260319_534494.html,2026-03-20,"上海闵行区：开展第二期政策法规月月学培训
为优化退役军人服务“一件事”办理流程，提升“一站式”服务效能，切实让退役军人返乡报到更便捷、更省心，近日，上海市闵行区退役军人服务中心组织开展第二期政策法规月月学培训，夯实基层工作人员业务基础，助力做好退役报到服务保障工作。
培训会上，主讲人重点解读本年度退役军人服务“一件事”流程优化举措。明确退役报到统一至闵行区退役军人服务中心办理，进一步简化流程、明确路径，解决以往报到环节繁琐、地点不统一的问题。同时，闵行区人武部派驻工作人员现场办公，同步办理兵役登记信息变更和预备役登记，实现“报到+兵役登记”一站式办结，既减少退役军人跑腿次数，也有效减轻基层退役军人服务站工作压力，提升办事效率。
随后，主讲人还逐条剖析退役军人服务“一件事”涵盖的16项具体服务事项，结合退役军人切身需求，深入浅出讲解每个事项的办理流程、所需材料和注意事项，并现场演示“一网通办”平台的操作流程。针对街镇（工业区）工作人员在实际工作中可能遇到的疑点、难点问题进行逐一解答并给出具体工作建议，确保工作人员熟练掌握业务规范。
此次培训切实提升全区退役军人服务工作人员的业务能力和服务水平，为后续高效开展服务工作奠定坚实基础。闵行区退役军人服务中心将坚守服务宗旨，持续优化服务流程，细化服务举措，抓实政策落地，为返乡退役军人提供更优质、高效、便捷的服务，助力其快速融入家乡、实现人生价值。"
内蒙古赤峰：开展安置政策专题宣讲活动,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260319_534489.html,2026-03-20,"内蒙古赤峰：开展安置政策专题宣讲活动
双拥搭桥送政策，真情服务暖兵心。在退役季来临之际，近日，由内蒙古自治区赤峰市双拥办联系协调，赤峰市退役军人事务局安置科走进驻赤某部，开展“送政策进军营”专题宣讲活动，为即将退役的官兵送上精准实用的政策服务，以务实举措深化双拥共建、传递军地温情。
宣讲现场，工作人员围绕《退役军人安置条例》、退役士兵与转业军官报到流程、社保医保接续、优待证申领使用等内容，用通俗易懂的语言逐一解读，结合典型案例拆解政策难点，并现场解答官兵关于安置就业、待遇保障等方面的疑问，精准回应官兵关切。
此次活动将政策送到军营、把服务送到身边，帮助即将退役的官兵明晰安置流程、消除后顾之忧，进一步增强了军人的获得感、荣誉感和归属感，为退役军人顺利转身、平稳过渡打下坚实基础，持续巩固军政军民团结良好局面。"
湖北赤壁：开展“传承雷锋精神 关爱革命功臣”学雷锋志愿服务活动,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260319_534485.html,2026-03-20,"湖北赤壁：开展“传承雷锋精神 关爱革命功臣”学雷锋志愿服务活动
3月5日，湖北省咸宁市赤壁市人武部联合市退役军人事务局组织人员前往退役军人第一养老护理院，开展以“传承雷锋精神，关爱革命功臣”为主题的学雷锋志愿服务活动。
活动当天，工作人员带着生日蛋糕来到光荣院，祝福湖北省模范退役军人、全省优秀共产党员张向温92岁生日快乐。一进院门，战士们便分工协作，有的帮助老人剪头发、整理房间、打扫卫生、清理院内杂草，有的陪老人们聊天谈心，倾听他们讲述革命年代的峥嵘岁月。赤壁市退役军人事务局工作人员耐心细致地为老人们讲解了最新的优抚政策，解答他们提出的疑问，确保老人们能够及时了解并享受到应有的福利待遇。
老兵张向温激动地说：“感谢党和政府一直惦记着我们，你们就像亲人一样，让我们心里暖洋洋的。”
下一步，赤壁市人武部、市退役军人事务局将继续联合相关部门，常态化开展此类志愿服务活动，为老人提供更多力所能及的帮助，让雷锋精神在新时代绽放新的光芒。"
湖南郴州：百店拥军暖兵心 温情服务聚民心,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260319_534478.html,2026-03-20,"湖南郴州：百店拥军暖兵心 温情服务聚民心
近日，湖南省郴州市退役军人服务中心联合北湖区退役军人事务局、兴隆步行街协会、人民路街道国庆北路社区，在兴隆双拥示范街创建点开展爱心公益活动，进一步营造尊崇军人职业、尊重退役军人的浓厚社会氛围。
活动现场暖意融融、氛围热烈，“兴隆双拥示范街创建点”标识在国庆北路旁竖立，143家商铺门口悬挂“现役军人、退役军人及其他优抚对象凭证优惠”红色门牌，推出折上折、满减、赠送礼品等优惠举措，以实际行动致敬军人、温暖兵心。
现场设置知识互动环节，100余条谜题融合党史军史、退役军人保障法等内容，60多名退役军人与社区居民踊跃参与、积极作答，答对者可获赠书籍、笔记本等礼品。活动还向退役军人及市民赠送慰问小礼品180余份，传递关怀与祝福，激励广大退役军人退役不褪色、建功新时代。
郴州市北湖区退役老兵魏一勇感慨：“我和战友们参与互动收获满满，还领到了慰问品，感谢党和政府的关心！”据了解，该区自启动双拥示范街创建点建设以来，已有143家商铺响应“千企万店”拥军行动，带动就业560余人，累计关爱慰问退役军人800余人次，发放慰问金及物资32万余元；兴隆步行街志愿服务队注册志愿者达1068人，其中退役军人志愿者12名，开展志愿服务400余次，尊重关爱退役军人的良好风尚持续浓厚。"
福建漳州：畲族小伙立二等功 县领导为他送喜报,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260319_534472.html,2026-03-20,"福建漳州：畲族小伙立二等功 县领导为他送喜报
近日，福建省漳州市漳浦县湖西畲族乡顶坛村迎来了一个比过年还热闹的日子——优秀军校学员蓝浦泉荣立个人二等功！从村头到村尾，锣鼓喧天、鞭炮齐鸣，十里八乡的乡亲纷纷赶来，夹道欢迎送喜报的队伍。龙狮舞动助兴，掌声、欢呼声此起彼伏，整个畲乡村落沉浸在无比荣耀的氛围中。
“咱畲乡的孩子真有出息！”“老蓝家出了个好儿男，为我们畲乡争了光！”乡亲们争相围观、啧啧称赞，脸上洋溢着自豪与喜悦。更令人动容的是，蓝浦泉的父母、姐姐身着精美的畲族传统服饰，凤凰装上的银饰在阳光下熠熠生辉，映衬着一家人的荣光。母亲黄英梅眼眶湿润，激动地说：“感觉特别光荣！全村人都来送喜报，这是我们全家一辈子难忘的大事！”
当天下午，漳浦县委书记带队，县人武部政委等军地领导专程来到这个畲族村落，为荣立个人二等功的军校学员蓝浦泉送喜报。仪式现场庄重而热烈，首先宣读立功喜报，然后军地领导为蓝浦泉家属披上光荣绶带、颁发慰问金。当立功喜报和鲜花送到蓝浦泉手中时，现场响起经久不息的掌声。
座谈会上，慰问组与蓝浦泉及其家属亲切交谈。当了解到湖西畲族乡近年来已先后走出多名立功受奖军人时，县领导欣慰地说：“畲族儿女历来有保家卫国的优良传统，我们要把这种精神传承好、发扬好。”他要求各级各部门要结合民族地区特点，创新双拥工作方式，把“各民族一家亲”的理念融入拥军优属全过程，用心用情为少数民族军人家庭办实事、解难题。
蓝浦泉是土生土长的畲乡子弟，2001年12月出生，2021年9月入伍，先后获评“四有”优秀士兵、优秀学员等荣誉。他曾服役于武警重庆总队某中队，2024年9月考入中国人民武装警察部队士官学校，在校期间历任班长、区队长。2025年，他作为组长带队参加第二十届全国大学生智能汽车竞赛某赛事，斩获国家级一等奖1项、省级奖项3项，同年12月荣立个人平时二等功一次。
活动现场，温情涌动。蓝浦泉的双胞胎姐姐蓝晓丹身着精美的畲族凤凰装，缓步走到弟弟面前。她仔细为弟弟整理好衣领，在大姐的见证下，将手中那枚闪耀的二等功军功章郑重地佩戴在他胸前。“阿弟，立功受奖，全家光荣，全村都为你骄傲！”蓝晓丹眼眶微红，话语中满是自豪。她勉励弟弟珍惜荣誉、再接再厉，在军营再创辉煌。
得知蓝氏家族出了功臣，仪式结束后，30余位族亲激动地涌上前来，争相与蓝浦泉合影留念。大家簇拥着功臣，快门声、欢笑声此起彼伏。
一张喜报，一块牌匾，承载着军人的无上荣光，见证着强军路上的奋斗足迹。自退役军人事务部门成立以来，漳浦县这片崇军沃土硕果累累，涌现出党的二十大代表林莉君、全军“四有”优秀个人标兵蔡条阳等11人次荣立二等功以上功臣。榜样力量催人奋进，双拥之花正在漳浦大地绚丽绽放。
夕阳西下，欢庆的人群久久不愿散去。“党的政策好，军民一家亲……”悠扬的畲歌在山间回荡，唱出了少数民族群众对子弟兵的深情，更唱响了新时代双拥工作的动人乐章。"
陕西西乡：举行欢送入伍新兵、迎接退役老兵返乡暨三等功喜报集中庆送活动,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260319_534470.html,2026-03-20,"陕西西乡：举行欢送入伍新兵、迎接退役老兵返乡暨三等功喜报集中庆送活动
为弘扬拥军优属优良传统，厚植国防教育沃土，3月13日上午，陕西省汉中市西乡县人武部联合县退役军人事务局等相关单位，举行欢送入伍新兵、迎接退役老兵暨三等功喜报集中庆送活动，以“送新、迎老、传荣”三重仪式，凝聚强军兴军强大合力，以一场庄重热烈、意义深远的主题活动，奏响爱国强军、薪火相传的时代强音。
活动现场，新兵身着戎装、肩披绶带，学生代表为他们佩戴大红花，并为光荣返乡的老兵代表敬献鲜花，两代军人互敬军礼，传递了军旅传承的深厚情谊，展现出新时代青年的热血担当。
新兵、老兵及新兵家属代表依次发言。新兵表示将牢记家乡嘱托，扎根军营、苦练本领，以绝对忠诚践行报国使命；老兵寄语新兵传承军旅精神，在新征程上续写荣光；军属承诺将持续做好后盾，鼓励家人矢志强军、建立新功。
青年兴则国家兴，青年强则国防强。此次活动将国防教育与拥军优属、荣光传承深度融合，既是一堂生动的爱国主义教育课，更是一次深刻的精神洗礼。下一步，西乡县将持续深化国防教育进校园活动，常态化开展新兵欢送、老兵迎接、喜报送家门等工作，进一步传承红色基因、赓续红色血脉，引导广大青少年树立国防意识、增强爱国情怀，激励更多有志青年投身军营、报效国家，为强国强军事业凝聚青春力量。"
四川成都金牛区：深耕“大走访”三年 以“心”服务绘就尊崇底色,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260319_534468.html,2026-03-20,"四川成都金牛区：深耕“大走访”三年 以“心”服务绘就尊崇底色
2026年是四川省成都市金牛区退役军人事务系统开展办好“退役军人最期盼的10件事”暨“大走访”活动的第三年。近三年来，成都市金牛区始终秉持“退役军人服务，没有最好，只有更好”的工作理念，将“大走访”从一项工作任务转化为融入血脉的服务情怀，通过建机制、优服务、解民忧、促常态，推动走访工作从“走进门”向“走进心”转变，从“全覆盖”向“精准化”升级，实现了退役军人与服务部门从“工作对象”到“自家亲人”的情感跨越，为退役军人工作高质量发展积累了金牛经验。
锚定思想引领，以“三心”铸魂夯实服务根基。坚持将思想建设摆在走访工作的重要位置，把“对服务对象热心、对工作尽心、让组织放心”的“三心”理念，打造成全区系统干部职工的行动遵循和情怀传承。坚持“开年就开工、开工就实干”的工作传统，摒弃形式主义的动员会，以拉出时间表、列好进度条、定准责任人的务实举措，推动走访工作迅速落地。通过健全区、街道、社区三级联动工作机制，成立局主要领导负责的工作小组，实现上下联动、齐抓共管的工作格局，让服务理念转化为具体的工作行动，为“大走访”工作开展筑牢了组织和思想基础。
坚持全域覆盖，以脚步丈量筑牢服务阵地。坚持将“不漏一人、不落一事”作为“大走访”工作的基本要求，构建形式多样、全面覆盖的走访体系。局领导班子带头包片下沉，深入街道、社区与退役军人面对面交流；各退役军人服务站充分发动工作人员、网格员、楼栋长等基层力量，综合运用座谈会、电话联系、网络交流、入户走访、问卷调查等多种形式，全方位倾听退役军人心声诉求，让“大走访”成为连接退役军人与服务部门的暖心桥梁。
聚焦急难愁盼，以快速响应提升服务质效。坚持将解决退役军人急难愁盼问题作为“大走访”工作的出发点和落脚点，建立“即知即改、事不过夜”的问题处置机制，确保退役军人诉求件件有回应、事事有着落。对走访收集到的问题及时梳理分类，实施分级处置：能够立即解决的问题迅速安排落实，需要跨部门协调的问题及时向上级汇报并推动联动解决，暂时无法解决的问题耐心做好解释说明工作，让退役军人感受到服务的速度与温度，让“大走访”工作成为解决实际问题的有效抓手。
健全长效机制，以常态服务厚植尊崇情怀。推动“大走访”工作与“四尊崇”“五关爱”“六必访”工作要求深度融合，实现了从“集中走访”向“常态联系”、从“节日慰问”向“日常牵挂”的转变。通过在基层退役军人服务站设立“专属日历”，精准标注退役军人的生日、医保办理日、交心日等重要节点，将个性化关怀落到实处，让退役军人感受到常态化的温暖。通过构建全流程数据化服务体系，精准掌握辖区服务对象的人员数量、家庭实际、就业现状、存在困难，全面摸清功臣模范、烈士遗属、残疾退役军人、特困退役军人等重点群体情况，让数据成为精准服务的支撑，实现了“想退役军人之所想，急退役军人之所急”的精准服务目标。"
河北承德：开展“弘扬新时代雷锋精神 承德老兵在行动”主题志愿服务活动,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260319_534464.html,2026-03-20,"河北承德：开展“弘扬新时代雷锋精神 承德老兵在行动”主题志愿服务活动
春寒料峭，暖意涌动。近日，河北省承德市中心广场人头攒动、温情满溢，由承德老兵志愿服务队主办的“弘扬新时代雷锋精神 承德老兵在行动”主题志愿服务活动圆满落幕，一系列贴心举措温暖了整座城市。
活动现场，各志愿服务分队分工明确、有序开展工作，用专业与热忱践行雷锋精神，让每一位到场市民都能感受到实实在在的温暖与关怀。
“这些老兵真是太好了，又给理发，又给量血压，还给我们讲英雄故事，心里热乎乎的！”一位刚理完发的老人脸上洋溢着幸福的笑容，激动地说。环卫工人张大姐接过爱心手套，连连道谢：“这保暖手套送得太及时了，谢谢老兵同志！”一句句真诚的感谢、一声声暖心的称赞，都是对此次志愿服务活动最真挚的肯定。
红色宣讲，传承精神力量。红色宣讲分队以展板展示、宣传单发放为载体，生动讲述热河革命先烈的英勇事迹，带领现场市民一同缅怀革命先辈、追忆峥嵘岁月。志愿者们用真挚的话语，传递红色基因、弘扬革命精神，让红色力量在新时代熠熠生辉，激励着在场每一个人铭记历史、奋勇前行，将爱国情怀融入日常、化为经常。
医疗保障，守护群众健康。医疗保障分队聚焦市民健康需求，免费提供体检、健康咨询等便民服务。志愿者们耐心接待每一位市民，细致检查身体状况，细致解答高血压、糖尿病等常见疾病的预防、护理知识，用专业的服务、亲切的态度，为市民的健康保驾护航，赢得了大家的一致认可与好评。
法律咨询，筑牢法治防线。法律咨询分队通过发放宣传资料、现场答疑解惑的方式，向市民普及与日常生活息息相关的法律知识。志愿者们用通俗易懂的语言，将复杂的法律条文拆解解读、深入浅出，帮助市民增强法治意识、学会运用法律武器维护自身合法权益，让法治观念深入人心，切实为市民办实事、解难题。
除了特色服务分队，活动现场还设置了免费理发、暖心热饮、爱心手套发放等便民环节，同步开展精彩的文艺演出，丰富市民的精神文化生活。一把剪刀、一杯热饮、一副手套，看似微小的举动，却承载着老兵的深情厚谊，让春寒中的承德充满暖意。
此次“弘扬新时代雷锋精神 承德老兵在行动”主题志愿服务活动，不仅充分展现了退役军人“退役不褪色、退伍不退志”的责任与担当，激励着更多退役军人踊跃投身学雷锋志愿服务，更在全市范围内掀起了学雷锋、传美德、践文明的热潮。
下一步，承德老兵志愿服务队将继续秉承雷锋精神，坚守初心使命，持续开展关爱困难老兵、助力环保行动、参与双拥共建等各类志愿服务活动，以实际行动践行退役军人的责任与担当，为建设美丽承德贡献退役军人力量，让雷锋精神在新时代绽放更加璀璨的光芒！"
江西：召开2026年全面从严治党工作会议,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260319_534462.html,2026-03-20,"江西：召开2026年全面从严治党工作会议
3月12日，江西省退役军人事务厅召开2026年全面从严治党工作会议，传达学习二十届中央纪委五次全会和省纪委十五届六次全会精神、省政府第四次廉政工作会议精神，总结2025年全面从严治党工作，分析当前形势，部署2026年工作任务。厅党组书记、厅长荣蓉，省纪委监委驻省民政厅纪检监察组组长刘建堂出席会议并讲话。厅党组成员、副厅长涂汉兵主持会议。在家厅领导王纯、陈钢和纪检监察组二级巡视员向东出席会议。省纪委监委第四监督检查室相关同志到会指导。
会议指出，2025年厅党组坚持以习近平新时代中国特色社会主义思想为指导，在省委、省政府的坚强领导下，在省纪委监委及派驻纪检监察组的关心支持和监督下，认真落实全面从严治党主体责任，政治建设不断加强、责任压力持续传导、学习教育扎实开展、作风建设纵深推进、日常监督得到深化、管理更加规范有序，全面从严治党的政治引领作用进一步彰显，有力保障了退役军人工作始终沿着正确的政治方向前行。
会议强调，全厅各级党组织和广大党员干部要深刻把握党中央对当前全面从严治党形势的准确判断、对任务的科学部署，按照省委对全面从严治党工作的新要求，自觉提高政治站位，认真对标对表，清醒认识省退役军人事务厅全面从严治党工作面临的新形势新问题，切实对照高标准、严要求，对照新时代广大退役军人的新期待，纵深推进全面从严治党，为实现“十五五”江西退役军人工作开好局起好步提供坚强保障。
会议指出，2026年是“十五五”开局起步之年，以更高标准、更实举措做好全面从严治党工作意义重大。全厅上下要深入学习贯彻习近平总书记关于党的建设的重要思想、关于党的自我革命的重要思想，持续推进党的政治建设，扎实开展树立和践行正确政绩观学习教育，以严的标准锻造模范机关；要不断完善制度规定、着力提高制度执行力、推动领导干部规范用权，以严的基调促进精准有效治权；要深入推进风腐同查同治、持续整治群众身边不正之风、严格管理监督干部，以严的氛围推进作风建设常态长效；要严肃党内政治生活、提高思想政治工作质效、加强干部队伍建设，以严的要求持续增强党组织凝聚力战斗力；要压实管党治党政治责任，拧紧责任链条、全力支持派驻纪检监察组履行职责、将各项工作贯通落实到基层，以严的措施营造风清气正的政治生态。
刘建堂在讲话中充分肯定了省退役军人事务厅2025年推进全面从严治党工作取得的成效，并结合当前的形势任务，指出了工作中存在的短板，就抓好2026年全面从严治党工作提出具体要求。他指出，要进一步强化政治监督，全力保障党中央重大决策部署落实见效；要进一步强化正风肃纪，巩固拓展深入贯彻中央八项规定精神学习教育成果；要进一步强化制度治权，更加科学有效地把权力关进制度笼子。他强调，要进一步强化标本兼治，一体推进不敢腐、不能腐、不想腐；要进一步强化担当作为，激励干部在遵规守纪中干事创业；要进一步强化政治责任，推进全面从严治党向纵深发展。
厅二级巡视员、纪检监察组副组长及有关同志，厅机关全体干部、厅属各单位副处级以上干部及各党支部书记、纪检委员（干部）参加会议。"
广西桂平：三十载戎马铸军魂 故里今朝敬“兵王”,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260319_534459.html,2026-03-20,"广西桂平：三十载戎马铸军魂 故里今朝敬“兵王”
3月3日上午，广西壮族自治区桂平市在动车站热烈举行“三十载戎马铸军魂 故里今朝敬‘兵王’”返乡欢迎仪式，热烈欢迎陈其新、杨健新、梁益全3位一级军士长光荣退役返乡。
上午9点，3位“兵王”代表身着军装、佩戴“光荣退役”绶带，踏着坚定的步伐缓缓走出车站。早已在出站口等候的家属代表激动不已，温情相拥；在场人员为他们送上鲜花与祝福，表达全市人民对他们的崇高敬意和热烈欢迎。
上午10点半，召开退役“兵王”座谈会。会上，陈其新代表3位“兵王”发言。他回顾了其三十载军旅生涯的奋斗历程，表达了对家乡的深厚感情和继续服务社会的坚定决心。相关领导指出，“兵王”是军队的脊梁、家乡的骄傲，希望他们永葆军人本色，继续在地方建设中发光发热；强调全市各级各部门要用心用情做好退役军人服务保障工作，营造尊崇军人职业、关爱退役军人的浓厚氛围。
陈其新，桂平市油麻镇人，1977年9月出生，1995年12月入伍。30年来，他从一名普通士兵成长为专业骨干、技术带头人，先后培养出20多名训练能手，所在班排两次荣立集体三等功。他参与多项重大演训任务，2010年荣获全军士官优秀人才奖，用实干书写了一名老兵的担当。
杨健新，桂平市社步镇人，1977年6月出生，1995年12月入伍。作为空军机械技师，他守护战鹰安全起落三十载，先后荣立二等功1次、三等功4次，多次获评优秀共产党员。他用精湛技术和严谨作风，诠释了机务兵的使命与忠诚。
梁益全，桂平市社步镇丰贺村人，1977年10月出生，1995年12月入伍。从一名普通军械员成长为军械技师、东部战区空军二级强军工匠，他凭着一股钻劲练就过硬本领，荣立二等功1次、三等功2次，用30年坚守圆满完成了各项战训保障任务。
2025年，桂平市共有9名一级军士长退役返乡，充分展现了桂平市作为全国双拥模范城崇军尚武、拥军优属的深厚底蕴，彰显了这片红色热土孕育“兵王”的光荣传统。（文/李家欣、吕嘉悦）"
吉林东丰：开展“厚植家国情怀 激扬青春风采”爱国主义教育宣讲活动,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260319_534457.html,2026-03-20,"吉林东丰：开展“厚植家国情怀 激扬青春风采”爱国主义教育宣讲活动
为进一步厚植青少年爱国主义情怀，强化青少年思想政治引领，近日，吉林省辽源市东丰县退役军人事务局联合团县委、驻县某部队深入鹿乡学校开展爱国主义教育宣讲活动，将国防知识送进课堂，为该校师生带来了一堂兼具温度与深度的爱国主义教育课。
国防教育校外辅导员冀德以国防智能、武装力量等为出发点，用朴实真挚的语言讲述革命历史，细致为同学们普及国防安全知识，阐释爱国主义精神的深刻内涵。铿锵的话语直击人心，动人的故事催人奋进，引导同学们铭记历史、崇尚英雄、珍爱和平，勉励大家将爱国情、强国志、报国行融入日常学习生活，树立远大理想，锤炼过硬本领，以实际行动践行爱国初心。
课堂上，同学们全神贯注聆听分享，积极参与互动交流。同学们表示，要以军人为榜样，学习他们忠诚担当、不畏艰难、保家卫国的事迹，传承红色基因，赓续红色血脉，努力学习、强健体魄，争做有理想、有本领、有担当的新时代好少年。
此次活动通过军地校三方协同发力，推动爱国主义教育、国防教育真正走进校园、走进课堂、走进青少年心中，让爱国的种子在孩子们的心田生根发芽，帮助青少年树立正确的国家观、民族观。
东丰县退役军人事务局相关负责人表示，东丰县退役军人事务局将持续发挥自身资源优势，深化与各方合作联动，用红色精神滋养青少年心灵，引领广大青少年坚定理想信念，为家乡发展贡献青春力量。"
